symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,256,8,32.0,2,2,14.960351,26.459291,50.866871070861805,2.8592494,1.8509872
False,256,8,32.0,2,2,24.481153,75.97372,58.723046874999945,3.2269852,2.9029183
True,256,8,32.0,2,3,12.434162,16.059301,41.570574951171864,2.600136,1.5891833
False,256,8,32.0,2,3,22.74303,70.19807,52.96388759613016,3.0804482,2.8152175
True,256,8,32.0,2,4,12.544461,14.854746,44.10712699890127,2.6669385,1.510089
False,256,8,32.0,2,4,23.232578,57.036102,69.36460628509491,3.1468492,2.8080966
True,256,8,32.0,2,5,13.445994,18.185581,44.74522094726548,2.759327,1.5685656
False,256,8,32.0,2,5,21.389364,62.809982,57.4587688446043,3.0558593,2.6888864
True,256,8,32.0,2,6,15.249503,19.144438,50.75609474182122,2.8939905,1.7522974
False,256,8,32.0,2,6,18.56773,40.529583,53.49033966064444,2.9500308,2.342678
True,256,8,32.0,2,7,15.51156,26.60431,44.1349216461181,2.8482506,1.8853855
False,256,8,32.0,2,7,21.991743,52.41621,59.79651927947985,3.2553747,2.535186
True,256,8,32.0,2,8,15.373799,25.943367,45.131848335266106,2.8276317,1.9025129
False,256,8,32.0,2,8,18.15246,36.959835,53.18010177612294,2.930349,2.2754219
True,256,8,32.0,2,9,17.397263,42.480335,53.460571670532175,2.9216647,2.177497
False,256,8,32.0,2,9,21.663244,64.338104,59.699641418457,3.008835,2.732759
True,256,8,32.0,2,10,16.861431,29.6838,61.56448192596433,2.8865266,2.1078837
False,256,8,32.0,2,10,13.218822,17.423487,48.05903654098491,2.7419536,1.566462
True,256,8,32.0,2,11,16.627226,28.329975,55.21266059875479,2.8807201,2.0819185
False,256,8,32.0,2,11,20.911509,64.71821,48.809850692749016,2.9836717,2.6867537
True,256,8,32.0,2,12,11.090087,13.336134,38.25212593078612,2.5104468,1.3934059
False,256,8,32.0,2,12,18.729664,29.974117,80.8331546783447,3.0873895,2.1590078
True,256,8,32.0,2,13,22.82953,25.162216,61.954064178466744,3.6499078,1.964176
False,256,8,32.0,2,13,23.55731,77.319435,57.32405509948721,3.0738604,2.9326143
True,256,8,32.0,2,14,15.8129,16.931608,48.482409667968746,3.0198998,1.6608871
False,256,8,32.0,2,14,21.686186,56.575188,62.067093849182065,3.09266,2.676402
True,256,8,32.0,2,15,18.591969,42.137814,45.48354644775389,3.0681572,2.2098124
False,256,8,32.0,2,15,20.33533,64.558014,50.42829704284662,2.856059,2.7177176
True,256,8,32.0,2,16,16.785666,20.276068,48.380974578857376,3.100378,1.766033
False,256,8,32.0,2,16,24.402777,60.956833,53.8076225280761,3.3721187,2.7077491
True,256,8,32.0,2,17,14.550592,19.947418,47.74680175781249,2.7816792,1.740447
False,256,8,32.0,2,17,17.57451,43.960407,45.71208019256588,2.8011744,2.3607094
